precinct_id,polling_location_id
910011,2300126
9100110,2300113
9100111,2300127
9100112,2300114
9100113,2300116
9100114,2300117
9100115,230016
9100116,2300129
9100117,2300133
9100118,230019
9100119,230017
910012,230011
9100120,2300135
9100121,2300131
9100122,230014
9100123,2300125
9100124,2300124
9100125,2300130
9100126,2300134
9100127,2300120
9100128,2300118
9100129,2300136
910013,2300111
9100130,2300110
9100131,2300122
9100132,230015
9100133,230012
9100134,2300123
9100135,2300128
9100136,2300115
9100137,2300119
9100138,2300137
