name,precinct_id,ballot_style_image_url,id
WEST BOONE-1,910017,,71001100
WEST BOONE-2,910017,,710011288
BBOONE 5-2,910013,,710011781
BOONE 5-3,910013,,710012693
CENTRAL BOONE-1,910014,,710012767
BOONE 5-4,910013,,710012825
CENTRAL BOONE-2,910014,,710013205
CENTRAL BOONE-3,910014,,710014530
SOUTH BOONE-1,910016,,710014759
CENTRAL BOONE-4,910014,,710015356
NORTH BOONE-1,910015,,710015630
SOUTH BOONE-2,910016,,710015686
MORTON-1,910019,,710015749
NORTH BOONE-2,910015,,710015873
WEST BOONE-3,910017,,710015881
MORTON-2,910019,,710016377
COBLE-1,910012,,710016528
CENTRAL BOONE-5,910014,,710016654
COBLE-2,910012,,710016780
BOONE 5-1,910013,,71001760
PATTERSON-1,910011,,710017878
GWALTNEY #1-1,910024,,710021593
MILLERS-1,910027,,710021735
SHARPES #2-1,910029,,710023558
LITTLE RIVER-1,910026,,710024529
BETHLEHEM #2-1,910022,,710026358
SHARPES #1-1,910028,,710026810
BETHLEHEM #1-1,910021,,710026813
GWALTNEY #2-1,910025,,710027562
ELLENDALE-1,910023,,710027831
WHITEHEAD-1,910037,,710031392
GLADE CREEK-1,910034,,710031769
GAP CIVIL-2,910033,,710031771
GAP CIVIL-3,910033,,710031898
PINEY CREEK-1,910035,,710032001
GAP CIVIL-4,910033,,710032172
PINEY CREEK-2,910035,,710032297
CHERRY LANE-2,910031,,710032620
GAP CIVIL-5,910033,,710032867
PINEY CREEK-3,910035,,710032892
GAP CIVIL-6,910033,,710033536
GAP CIVIL-7,910033,,710033802
GLADE CREEK-2,910034,,710033896
CHERRY LANE-3,910031,,710034362
CHERRY LANE-4,910031,,710034373
WHITEHEAD-2,910037,,710034430
WHITEHEAD-3,910037,,710034476
GAP CIVIL-8,910033,,710034590
PRATHERS CREEK-3,910036,,710034855
CHERRY LANE-1,910031,,71003520
CHERRY LANE-5,910031,,710036267
PRATHERS CREEK-4,910036,,710036361
WHITEHEAD-4,910037,,710036612
PRATHERS CREEK-1,910036,,71003665
PRATHERS CREEK-5,910036,,710036658
CRANBERRY-1,910032,,710036710
PRATHERS CREEK-2,910036,,71003689
CRANBERRY-2,910032,,710037093
GAP CIVIL-9,910033,,710037469
GLADE CREEK-3,910034,,710038054
CHERRY LANE-6,910031,,710038235
GAP CIVIL-10,910033,,710038312
GLADE CREEK-4,910034,,710038358
WHITEHEAD-5,910037,,710038371
GAP CIVIL-1,910033,,7100385
PRATHERS CREEK-6,910036,,710038521
