precinct_split_id,polling_location_id
71001100,230018
710011288,230018
710011386,2300120
710011518,230017
710011554,2300128
710011692,2300125
710011723,2300131
710011781,2300111
710011796,230014
71001187,2300135
710011880,2300114
710012126,2300127
710012166,2300127
710012211,2300113
710012224,230016
710012257,2300130
710012496,2300116
710012535,2300127
710012678,2300117
710012693,2300111
710012767,2300121
710012825,2300111
710012837,2300119
710013205,2300121
710013539,230015
710013664,2300135
710013866,230014
710013890,2300114
710013954,2300122
710014011,2300125
710014068,2300129
71001421,2300110
710014409,2300110
710014523,2300118
710014530,2300121
710014533,2300124
710014759,2300132
710015082,2300117
710015124,2300134
710015349,2300123
710015356,2300121
710015630,2300112
710015652,2300120
710015686,2300132
710015740,2300115
710015749,230013
710015873,2300112
710015881,230018
710016331,2300116
710016341,2300137
710016377,230013
710016476,230019
710016528,230011
710016637,2300119
710016654,2300121
710016780,230011
710017169,230015
710017265,2300136
710017335,230012
710017590,2300119
71001760,2300111
710017654,2300124
710017710,2300114
710017845,2300113
710017878,2300126
710018056,2300127
710018107,2300119
710018153,2300123
710018305,2300129
710018377,230016
710018410,2300119
71001863,230014
71001984,2300133
710021085,2300219
710021225,2300215
710021395,2300218
710021593,230028
710021735,2300216
710021965,2300218
710023558,230027
710023738,230024
710024423,2300212
710024529,2300213
710025093,2300219
710025865,230022
710026289,230022
710026358,2300211
710026626,230023
710026810,230026
710026813,2300210
710026861,230023
710027562,230029
710027831,2300214
71002879,230024
710031392,230037
710031769,230034
710031771,230033
710031898,230033
710032001,230035
710032172,230033
710032297,230035
710032620,230031
710032867,230033
710032892,230035
710033536,230033
710033802,230033
710033896,230034
710034362,230031
710034373,230031
710034430,230037
710034476,230037
710034590,230033
710034855,230036
71003520,230031
710036267,230031
710036361,230036
710036612,230037
71003665,230036
710036658,230036
710036710,230032
71003689,230036
710037093,230032
710037469,230033
710038054,230034
710038235,230031
710038312,230033
710038358,230034
710038371,230037
7100385,230033
710038521,230036
